Name,Type
KGIBIDX04,Entity
2025/11/18 13:30 至 2025/11/18 17:30,Entity
網頁憑證期限,Entity
A部員,Entity
splunk_銀行處11月月維護,Entity
憑證,Entity
自動化封鎖清單異動儀表板建置 (進行中),Entity
enableDataIntegrityControl=true,Entity
2025/07/29 17:00,Entity
FCB settings,Entity
H3,Entity
磁碟用量調查,Entity
現場,Entity
DEP02 ([IP])移轉(下周進行),Entity
processor,Entity
critical,Entity
Splunk 使用者權限,Entity
附件中,Entity
1.更新GeoDB,Entity
升級至建議版本,Entity
FIsac情資撈取,Entity
IDX03,Entity
定期檢查,Entity
Splunk整體架構IP,Entity
F5VPN特定使用者連線的紀錄(ssp),Entity
Identity,Entity
現行版本,Entity
Error,Entity
FCB設定資料永久保存,Entity
健康狀態檢查,Entity
authorization quantity,Entity
"A人員,C人員",Entity
<HTTPS大量資料傳輸告警,Entity
4.eStreamer 資料異常處理,Entity
<Gen AI 連線紀錄(每日): monthly report>,Entity
系統參數檢查,Entity
2025/12/16 14:00至2025/12/16 18:40,Entity
各台主機KV store 憑證效期,Entity
splunk_B客戶B部門11月月維護,Entity
授權量,Entity
report,Entity
crowdstrike,Entity
09:30 至 10:00,Entity
待辦事項,Entity
hard disk,Entity
imsdb01兩台Uf中舊的殘留input設定,Entity
Splunk 2025 MA 12月定保.DM20250088_(8/12),Entity
150 GB,Entity
SH FISAC API,Entity
前一份CSR內容誤植，重新撰寫,Entity
Splunk駐點服務202511第四周,Entity
Heavy Forwarder,Entity
keep_logs,Entity
Splunk2024/09~2025/08的維護報告,Entity
到場作業項目,Entity
設備接收狀態檢查,Entity
F5VPN,Entity
VirusTotal,Entity
Production,Entity
Indexer 索引同步狀態,Entity
expansion of authorization quantity to 5 GB,Entity
Splunk版本,Entity
space usage,Entity
18.1.6,Entity
DC_ARP報表語法檢查,Entity
<每日HTTP資料傳輸統計報表(m365)>,Entity
版本18.5.2,Entity
page,Entity
NTP服務,Entity
B同事,Entity
Linux,Entity
客戶B,Entity
engineer B,Entity
硬碟空間,Entity
imsdb01,Entity
立嘉,Entity
status description,Entity
[IP],Entity
FISAC API IP申請單,Entity
轉送器監視設定,Entity
2025/12/24,Entity
"alerts for DNS, Traffic, Authentication Datamodel",Entity
2025/12/15 13:30,Entity
2025/11/25,Entity
10.0.2/ 2025.11.14,Entity
Maintainer帳號權限,Entity
credentials,Entity
FWD02磁碟,Entity
database,Entity
eStreamer,Entity
1.24%,Entity
MG02,Entity
2025/11/14 09:00,Entity
checkpoint logclm UF output limit,Entity
Splunk平台維護案,Entity
Maintenance Record,Entity
IOC,Entity
Maintance Record,Entity
C人员,Entity
Search Head,Entity
資料,Entity
工作事項,Entity
A部分,Entity
props.conf,Entity
data,Entity
search,Entity
Server,Entity
es_admin_user,Entity
產出DC_ARP_table報表,Entity
Search Head測試,Entity
<HTTP對外大量傳輸資料報表>,Entity
Switch_6FDC.csv,Entity
2025/11/26 13:30 至 2025/11/26 14:30,Entity
更新GeoDB,Entity
memory,Entity
C client,Entity
FWD02,Entity
B客戶,Entity
PA報表寄信異常,Entity
IDX硬碟,Entity
KPMG,Entity
input,Entity
UF已超過15分鐘未與indexer連線,Entity
Memory使用率,Entity
資料品質儀表板,Entity
HANK,Entity
新crowdstrike套件,Entity
SASE VPN登入成功報表,Entity
priority,Entity
audit.log,Entity
KVstore狀態中,Entity
client,Entity
PA TRAFFIC事件sourcetype更換,Entity
2025/12/04 09:00,Entity
SH KVstore引擎,Entity
Cyble ASM IP,Entity
Splunk帳號,Entity
Splunk SIEM,Entity
TCode,Entity
ASM,Entity
Splunk駐點服務202510第一周,Entity
search page,Entity
擴充 -授權量：100GB,Entity
CEF outputs套件,Entity
HTTP,Entity
audit.log 處理,Entity
FIsac資料收容,Entity
Splunk Indexer,Entity
<F5VPN特定使用者連線的紀錄(ssp) 僅數位科技中心,Entity
CENTOS,Entity
FCB腳本,Entity
系統,Entity
2025/03/14 14:00,Entity
frozen,Entity
換行字元,Entity
average authorization usage,Entity
16:00,Entity
SOAR,Entity
2025/11/26 17:30,Entity
severity,Entity
本月維護作業,Entity
2025/11/03 12:00,Entity
FISAC資料收容,Entity
rsyslog 轉送設定,Entity
AI website,Entity
設備IP往段清單,Entity
client B,Entity
Splunk Indexer queue full - 20251212,Entity
2025/12/04 08:30,Entity
ability value,Entity
Cybereyes,Entity
version 10.0.1,Entity
FWD02磁碟用量異常,Entity
Splunk駐點服務202512第四周(2025/12/23),Entity
CDIBHMGT02,Entity
Authorized quantity,Entity
Arcsight,Entity
皆正常,Entity
多個hostname,Entity
E客戶駐點工作事項 - 20251124,Entity
新增設定,Entity
KVSTORE,Entity
新增Splunk Add-on for Google Cloud Platform的sourcetype,Entity
issue,Entity
E客戶駐點工作事項 - 20251202,Entity
category欄位,Entity
相同的log,Entity
messages 暴增處理,Entity
當前版本,Entity
A人员,Entity
mitreattack,Entity
<Gen AI 連線紀錄(整月): monthly report>,Entity
更新geodb,Entity
新資料進到 splunk,Entity
Splunk升版完成,Entity
audit.log 持續累積,Entity
SSH Server 漏洞修補,Entity
logclm UF,Entity
estreamer 處理,Entity
C,Entity
未使用,Entity
A同事,Entity
2026年國定假日列表,Entity
Splunk on-site service,Entity
10月維護報告,Entity
Technology,Entity
G client,Entity
自動化封鎖清單異動儀表板建置,Entity
DC_ARP_table,Entity
Splunk 版本,Entity
PA 每月報表觸發動作變更,Entity
KVstore引擎異常測試,Entity
version assessment,Entity
未明確定義priotiry 的identity,Entity
大量SERVICE_START 及 SERVICE_STOP 資料,Entity
index,Entity
信用卡處12月月維護,Entity
Splunk駐點服務,Entity
移轉,Entity
測試環境,Entity
KPMG滲透測試,Entity
current version 9.3.8,Entity
帳號盤點並寄送給Hank,Entity
9.3.1 -> 9.3.3,Entity
版本18.5.4,Entity
本季維護報表重點,Entity
equipment,Entity
CEF outputs套件調整送出格式,Entity
2025/11/14 15:33,Entity
engineer,Entity
Splunk Indexer queue full - 20251211,Entity
Ryan,Entity
imsdb02UF,Entity
2025/12/09 17:30,Entity
E客戶Splunk駐點 - 20251230,Entity
Splunk_11月維護,Entity
splunk,Entity
old backups,Entity
10.0.1/2025.11.14,Entity
設定於每月1日凌晨2:00執行,Entity
18.5.2,Entity
splunk_銀行處12月月維護,Entity
IP申請,Entity
駐點工作內容,Entity
IIS LOG拋送,Entity
系統優化建議,Entity
服務確認,Entity
IDX,Entity
C人員,Entity
estreamer資料量,Entity
5.KPMG滲透測試IP白名單 已將IP及網段加入白名單，並修改告警語法，使其同時比對IP及網段,Entity
硬碟使用率,Entity
Splunk account,Entity
協助韌體更新,Entity
IP白名單,Entity
2.PA 每月報表補寄,Entity
geodb 更新,Entity
ess_analyst 角色能力值,Entity
FIPS mode,Entity
CSR,Entity
AI,Entity
資料平衡確認與未連接license master解決,Entity
2025/11/03 10:00,Entity
週四到場作業,Entity
2025/12/15 18:00,Entity
時間,Entity
申請底層,Entity
Gitlab,Entity
DEP02連動主機檢查,Entity
2025/12/15 17:30,Entity
今日工作項目,Entity
F客戶,Entity
FCB設定,Entity
indexer cluster,Entity
2025/11/11 13:30,Entity
2025/10/01 13:30至2025/10/01 17:30,Entity
Nix logon success語法,Entity
service,Entity
m365網址,Entity
2025/12/24 09:00 至 2025/12/24 17:00,Entity
installation files,Entity
messages,Entity
DC_ARP報表,Entity
KV store憑證過期,Entity
C部門,Entity
Splunk平台維護案(06-11月),Entity
normal,Entity
CPU,Entity
現行版本9.3.3 / 2025.02.26,Entity
BTDC2,Entity
ES threat intelligence download設定,Entity
server performance,Entity
"A部門, B部門 tasks",Entity
UF,Entity
Splunk 2025 MA 10月定保.DM20250088_(6/12),Entity
平均授權用量,Entity
monthly maintenance tasks,Entity
estreamer,Entity
PA事件時間誤差,Entity
datamodel dnsAMD settings,Entity
升級,Entity
API的IP申請單,Entity
1.Splunk角色能力異常,Entity
GCP,Entity
630 GB,Entity
newest version,Entity
防火牆,Entity
133.26GB,Entity
駐點工作事項 - 20251223,Entity
資產新增,Entity
B部門,Entity
報告及告警寄件人,Entity
E客戶駐點工作事項 - 20251030,Entity
A 客戶,Entity
狀態描述,Entity
Version 10.0.1,Entity
2025.09.25,Entity
CEF,Entity
IPS,Entity
microsoft,Entity
checkpoint logclm uf,Entity
B人員,Entity
UAT,Entity
部屬新crowdstrike套件,Entity
設備參數無異常(DNS server、NTP server、LDAP setting),Entity
帳號盤點清單確認,Entity
SH KVstore引擎異常測試-進行中,Entity
2025/12/12 09:00 至 2025/12/12 18:00,Entity
整體無異常,Entity
2025/12/01 10:00至2025/12/01 12:00,Entity
identity,Entity
主機,Entity
缺少設備的原因,Entity
Splunk駐點服務202601第三周,Entity
PA,Entity
2025.02.26,Entity
dbconenct異常問題,Entity
CVE-2025-6454、CVE-2025-2256,Entity
Google,Entity
2025/11/26 13:30,Entity
Version 9.3.3,Entity
onsite 處置動作,Entity
Splunk駐點服務202512第一周(2025/12/2),Entity
2025/10/30 13:30 至 2025/10/30 17:00,Entity
2GB,Entity
情資白名單新增,Entity
駐點工作事項,Entity
threat object,Entity
AI網站服務紀錄調閱報表建置,Entity
問題追蹤,Entity
0,Entity
MGO2磁碟,Entity
3.2025弱點掃描報告資訊整理,Entity
system optimization suggestions,Entity
2025/11/04 09:30,Entity
正常登入使用、KVSTORE 狀態正常,Entity
工作項目,Entity
Splunk Add-on for Google Cloud Platform,Entity
splunk_銀行處11月月維護.,Entity
公用電腦,Entity
asset,Entity
host-name,Entity
RF/SF,Entity
維護紀錄,Entity
2025/11/05 19:00,Entity
customer C,Entity
websense Log,Entity
Splunk月報寄送,Entity
確認內對內告警 urgency = critical原因,Entity
estreamer 資料暴增,Entity
您,Entity
2025/12/15 09:00 至 2025/12/15 18:00,Entity
Splunk駐點服務202510第三周,Entity
缺少檔案的狀況,Entity
2025/12/15 09:00,Entity
splunk_信用卡處11月月維護,Entity
報告,Entity
乙,Entity
I客戶,Entity
CVE-2025-12571,Entity
sourcetype,Entity
橘底標示的設備,Entity
ZTA_DM20250088,Entity
FWD02磁碟用量異常處理,Entity
low,Entity
DNS Datamodel src欄位異常,Entity
Assets,Entity
檢查各台主機KV store 憑證效期,Entity
101台UF,Entity
HTTPS大量傳輸告警,Entity
estreamer 资料,Entity
certificates,Entity
C同事,Entity
新增indexer,Entity
情資,Entity
PIMS,Entity
148GB,Entity
9.3.8,Entity
帳號狀態,Entity
2025/10/04 10:30,Entity
clean.sh 資料留存區間,Entity
KV store憑證,Entity
James,Entity
13:30至17:30,Entity
URL,Entity
alarms,Entity
2025/11/21,Entity
無,Entity
Asset,Entity
E客戶 Splunk 2025 MA 10月定保.DM20250088_(6/12),Entity
異常,Entity
補產出ARP_table報表給您(排程設定每月執行),Entity
B department,Entity
網段,Entity
全科人員,Entity
C人員 processed E客戶,Entity
Splunk駐點服務202601第二周(2026/1/13),Entity
Splunk版本升級,Entity
2025/11/17 13:30 至 2025/11/17 17:30,Entity
transfer agent,Entity
需列出的設備名稱,Entity
maintainer角色,Entity
FISAC API Input,Entity
建議進行升版,Entity
maintenance record,Entity
SASE登入成功紀錄,Entity
Hank,Entity
n8n,Entity
伺服器效能,Entity
studio,Entity
version 9.3.3,Entity
CVE-2025-6454,Entity
Websebse log異常截斷,Entity
239.38GB average authorization usage,Entity
處理工程師,Entity
2025/12/15,Entity
資料同步,Entity
CVE-2025-2256,Entity
2.checkpoint相關告警查看 確認所有checkpoint告警使用情況。,Entity
SPLUNK中的憑證路徑,Entity
dbconenct,Entity
Indexer設定防串改,Entity
E,Entity
DEP02主機排程,Entity
path,Entity
2025/12/19 18:00,Entity
新增設備,Entity
FWD03 底層資料收容,Entity
2025/11/10 09:30至2025/11/10 12:00,Entity
自8.0.3升版至8.2.3,Entity
system,Entity
2025/07/29 13:30,Entity
Gitlab版本升級,Entity
maintenance,Entity
indexer 新增至IDX cluster節點,Entity
43.73%,Entity
"A人員, C人員 to handle B客戶 tasks",Entity
B部門indexer索引同步狀態,Entity
新增index 與 HEC token for XSOAR,Entity
sailag,Entity
紀錄,Entity
Centos作業系統升級,Entity
VMware Tools vulnerability patching,Entity
Centos作業系統,Entity
報表,Entity
Splunk套件,Entity
Splunk駐點服務202510第五周,Entity
A人員處理B客戶,Entity
285GB授權量,Entity
H客戶,Entity
"Traffic, Auentication Datamodel",Entity
E客戶Splunk駐點,Entity
CVE-2025-41246,Entity
239.38GB,Entity
2025,Entity
KGIBIDX04(主機),Entity
debug log資料蒐集,Entity
授權用量檢查,Entity
<F5VPN特定使用者連線的紀錄(sas)> 停用報表,Entity
PA TRAFFIC,Entity
personnel,Entity
Management,Entity
issues to be tracked,Entity
131 GB,Entity
9.3.3/2025.02.26,Entity
最新版本,Entity
狀態描述(DN20230083_(10/12),Entity
Splunk監控主機系統移轉與VM化服務(09-11),Entity
F,Entity
B customer,Entity
GitLab vulnerabilities,Entity
customer,Entity
server,Entity
SAP,Entity
A,Entity
自動version check,Entity
checkpoint logclm UF,Entity
18.21%,Entity
LDAP設定,Entity
Splunk駐點服務202512,Entity
銀行處,Entity
checkpoint,Entity
10.0.2,Entity
rsyslog,Entity
Splunk SH 異常hanging,Entity
代辦事項,Entity
AbuseIPDB,Entity
D客戶,Entity
version,Entity
cybereyes api 串接,Entity
major vulnerabilities,Entity
2025/11/06 10:00 至 2025/11/06 11:00,Entity
8台,Entity
CentOS作業系統升級,Entity
FWD03備份,Entity
SH,Entity
HEC,Entity
DNS,Entity
FIsac情資撈取 已設定完成，正在等待防火牆開通。,Event
The Splunk account changes occurred.,Event
這是一筆關於 C客戶 的維護紀錄。,Event
"Personnel C handled the customer problem from December 12th, 2025 at 9 AM to December 12th, 2025 at 6 PM",Event
現行版本近期被掃出弱點，建議進行升版,Event
The maintenance record is for E customer.,Event
There is a maintenance record for B客戶.,Event
"Finding will display duplicate threat objects, need to upgrade ES version",Event
the handling engineer for C staff was from 2025/12/11 09:00 to 2025/12/11 18:00,Event
"If the space usage continues to increase, frozen items will be moved.",Event
處理工程師為 B人員進行時間為 2025/12/30 13:30 至 2025/12/30 17:30,Event
"處理工程師為 C人員,B人員 進行時間為 2025/03/14 09:00 至 2025/03/14 14:00",Event
To do list 1. Alert inventory.,Event
5. 問題追蹤 - 無,Event
新增設定後已完整收容所有檔案之資料.,Event
"Prioritize specific assets for H1, H2, and H3 devices as critical, while all others are set to low.",Event
B人員 handled the maintenance as a processing engineer.,Event
B人員 進行時間為 2025/11/17 13:30 至 2025/11/17 17:30。,Event
The processing time is from 2025/12/15 09:00 to 2025/12/15 18:00.,Event
Fix FISAC API Input error when there is no data.,Event
The alert syntax for <SAP important TCode execution records> was adjusted to obtain the actual user from CyberArk logs before sending the email.,Event
確認 Asset and Identity priority。,Event
Status Description: There was an abnormality in the firewall event import time.,Event
The device received the status check.,Event
狀態描述 (Description): 資料平衡確認與未連接license master解決,Event
A人員 conducted the maintenance from 2025/12/26 14:00 to 2025/12/26 15:00.,Event
The status description is Splunk task - 0729.,Event
Engineer C staff handled the time from 2025/12/30 09:00 to 2025/12/30 12:00.,Event
eStreamer data has only received status logs since 11/14 23:20 with KVstore state abnormal.,Event
將自動化程式放於公用電腦上，成功執行。,Event
C人員 handled the E客戶 from 2025/12/04 08:30 to 2025/12/04 09:00.,Event
版本更新：現行版本近期被掃出弱點，建議進行升版 -當前版本：9.3.8 / 2025.11.14,Event
There were issues with PA's monthly report triggering actions in department A.,Event
The handling of the maintenance record was completed from 2025/12/02 13:30 to 2025/12/02 17:30.,Event
"Action: Work item: On-site to confirm the cause of the exception, the cause was not confirmed on the same day.",Event
A部門刪除es_admin_user繼承admin能力的選項，同時刪除es_admin_user的可刪除索引能力以區分權限高低。,Event
3. Add Cyble ASM IP to the whitelist for intelligence.,Event
已檢查各台主機的 NTP服務已啟用,Event
"The CPU utilization rate is 1.24%, below 90%, which is normal.",Event
A客戶 接受了維護紀錄,Event
A部門 1.Maintainer帳號權限確認 已確認角色能力可符合日常工作使用,Event
4. Upgrade GitLab from version 17.10.8 to 18.1.6 due to vulnerabilities CVE-2025-6454 and CVE-2025-2256 in the previous version.,Event
"Task: Assist with firmware update, problem not resolved, continuously looking for workaround.",Event
新增Splunk參數避免搜尋不會因為記憶體不足時就hanging,Event
KPMG penetration testing IP whitelist is added.,Event
There is a maintenance record about B客戶.,Event
狀態描述 (Description): E客戶Splunk駐點 - 20251230 處置動作 (Action): 今日工作項目如下：,Event
C客戶 has a maintenance record.,Event
"Adjustments were made for UAT, Production and PIMS consisting of eight machines.",Event
Splunk weekly onsite disposal actions.,Event
2. One year or more data comparison with VirusTotal.,Event
C人員 handled the maintenance for B客戶 on 2025/11/10 from 09:30 to 12:00.,Event
後續將進行確認,Event
A工程師 and C人員 handled the processing from 2025/11/05 13:30 to 2025/11/05 19:00.,Event
狀態描述 (Description): Splunk 2025 MA 07月定保.DM20250088_(3/12),Event
解決辦法：於indexer cluster上新增索引後部署至底下indexer，再次於SH上執行搜尋即可查詢事件.,Event
The processing engineers are A personnel and C personnel.,Event
Moving DEP02 (IP) next week,Event
Splunk version upgrade from 9.3.1 to 9.3.3.,Event
"The action was as follows: 1. Authorized capacity: it is recommended to expand authorized capacity, 100GB authorized and 132GB average authorized usage.",Event
"The week's work includes: 1. Update geodb, 2. Complete this month's maintenance task.",Event
"處理工程師為 A人員,C人員 進行時間為 2025/11/12 13:30 至 2025/11/12 17:40。",Event
"The current version has been scanned for vulnerabilities recently, so it is recommended to upgrade.",Event
The messages file has been deleted and logrotate schedule monitoring has been set up.,Event
Splunk整體架構IP調整-完成,Event
待完成工作項目：,Event
E客戶 has an on-site job related to the work on 20251114.,Event
"If the PA event type is threat or system, the default settings are used.",Event
今日已完成Splunk版本升級， 自9.2.3升版至9.3.8。,Event
The condition for SASE VPN login success report is modified.,Event
狀態描述 (Description): Splunk駐點服務20251226 - websense 斷行確認,Event
"處理工程師為 A人員,C人員 進行時間為 2026/01/07 13:30 至 2026/01/07 17:30",Event
調整websense Log，將DLP與其他LOG sourcetype進行分開,Event
The status description is Splunk weekly onsite disposal actions.,Event
"The tasks included updating GeoDB, reviewing 2025 second-half alerts, and building AI service logs.",Event
目前已產出一份DC_ARP_table報表，並與現有設備清單做比對，附件為比對結果，後續將進底層查看缺少設備的原因。,Event
Close old residual input settings in imsdb02UF,Event
C staff works on E client on 2025/12/24 from 09:00 to 17:00.,Event
"Engineer A staff processed the maintenance from 11:00 to 12:00 on November 6, 2025.",Event
The processing engineer B handled the maintenance record for C client.,Event
"FIisac information extraction was set up, waiting for firewall approval.",Event
The maintenance record is about customer A.,Event
Event action and processing details were provided.,Event
待辦事項 1. 告警盤點 (預計下周開始),Event
"B人員, a processing engineer, handled the case from 2026/01/02 17:33 to 2026/01/02 17:35.",Event
"The current version is 9.4.3 (2025.06.05), and the latest version is 10.0.1 (2025.09.25).",Event
There are 101 UF devices that have been offline for more than 15 minutes without connecting to the indexer.,Event
A description of the status is provided for E客戶 Splunk on point.,Event
暫先手動重啟 DLDK container。,Event
KVstore 憑證效期檢查 已將過期憑證移除並重新產生新憑證(有效期至2028/11)，確認kvstore 狀態為正常,Event
C人員是處理工程師,Event
The tasks are completed.,Event
Turn off SH FISAC API input (not used).,Event
A部門在172.18.44.33(DEP02)主機上新增使用者sailag，並套用先前信件附件中的權限設定,Event
The processing engineer handled the C staff.,Event
The entity that needs to check the missing equipment causes.,Event
E client is maintained.,Event
-當前版本：9.3.3/2025.02.26,Event
Please help me apply for the use of the bottom layer this Thursday.,Event
E客戶 has a task on-site for work items dated 20251104,Event
The DNSS AMD data model was adjusted and new alarms were added.,Event
The status description is Splunk On-site Service 202510 second week (2025/10/07).,Event
FInding會重複顯示,Event
3. 系統優化建議 - 皆正常，無需調整,Event
A has been asked to reapply for a sailag user permission compliance test.,Event
維護紀錄的主體是E客戶,Event
A department confirmed the service of DEP02 after transfer.,Event
A maintenance record for customer C was created.,Event
