":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"A部門進行了PA報表寄送異常檢查並請IT部門確認exchange是否有收到splunk報告。","A同事","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A部門進行了PA報表寄送異常檢查並請IT部門確認exchange是否有收到splunk報告。","IT部門","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B部門正在測試SH KVstore引擎異常狀況。","B同事","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B人員","FWD02磁碟用量異常","處理","['handle', 'address', 'deal with', 'manage']","[]","Relation"
"C客戶","Splunk","使用","['handle', 'operate', 'employ']","[]","Relation"
"estreamer","資料","暴增","['spike', 'increase', 'surge']","[]","Relation"
"FCB147","keep_logs 設定","導致","['cause', 'lead to induce', 'trigger']","[]","Relation"
"audit.log","資料","累積","['collect', 'build up', 'accumulate over time']","[]","Relation"
"/var/log/messages-20251214","148GB","達到","['achieve', 'fulfill', 'attain', 'reach']","[]","Relation"
"處理工程師為 B人員.","狀態描述.","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"狀態描述.","狀態描述.","after","['succeed', 'post']","[]","Relation"
"狀態描述.","本周工作項目如下: 1.FWD02磁碟用量異常處理.","after","['succeed', 'post']","[]","Relation"
"This is a maintenance record of the client C.","C","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The engineer B handled it from 2026/01/05 13:30 to 2026/01/05 17:30","B","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"It was found that the disk usage of FWD02 reached over 90%.","FWD02","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The cause of this is estreamer data increase, continuous accumulation of audit.log (FCB147's keep_logs setting causing no deletion) and /var/log/messages-20251214 file.","estreamer","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The cause of this is estreamer data increase, continuous accumulation of audit.log (FCB147's keep_logs setting causing no deletion) and /var/log/messages-20251214 file.","audit.log","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The cause of this is estreamer data increase, continuous accumulation of audit.log (FCB147's keep_logs setting causing no deletion) and /var/log/messages-20251214 file.","FCB147","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The current processing method involves estreamer handling, removing rsyslog forwarding settings (reducing data inflow), and adjusting clean.sh data retention interval.","estreamer","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The current processing method involves estreamer handling, removing rsyslog forwarding settings (reducing data inflow), and adjusting clean.sh data retention interval.","rsyslog","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The current processing method involves estreamer handling, removing rsyslog forwarding settings (reducing data inflow), and adjusting clean.sh data retention interval.","clean.sh","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"Audit.log is processed via manual deletion of audit data (releasing space).","audit.log","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The messages file has been deleted and logrotate schedule monitoring has been set up.","messages","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The messages file has been deleted and logrotate schedule monitoring has been set up.","/etc/cron.d/logrotate-syslog","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The to-do item is Cybereyes API interface (in progress).","Cybereyes API","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"C客戶","B人員","isMaintainedBy","['handle', 'oversee', 'manage']","[]","Relation"
"B人員","Splunk駐點服務","maintains","['preserves', 'sustains', 'upholds']","[]","Relation"
"GeoDB","B人員","isUpdatedBy","['revise', 'modify', 'alter', 'change']","[]","Relation"
"HTTPS大量傳輸告警","B人員","isAdjustedBy","['regulate', 'modify', 'alter\n            relation: is located at\n            your answer:\n            reside', 'situate', 'exist']","[]","Relation"
"m365網址","HTTPS大量傳輸告警","isExcludedFrom","['leave out', 'remove from', 'exclude']","[]","Relation"
"每日HTTP資料傳輸統計報表(m365)","B人員","isCreatedBy","['form', 'make', 'produce', 'generate']","[]","Relation"
"FWD02","CPU及磁碟用量","hasIssuesWith","['argue about', 'disagree on', 'conflict with']","[]","Relation"
"FCB腳本","estreamer資料量","/var/log/secure to estreamer 資料 轉發","['log transfer', 'stream relaying', 'channel data', 'data forwarding', 'pipe']","[]","Relation"
"日誌轉發設定","B人員","isClosedBy","['finalize', 'shut down', 'conclude']","[]","Relation"
"處理工程師為 B人員進行時間為 2025/12/30 13:30 至 2025/12/30 17:30","狀態描述 Splunk駐點服務202512第五周(2025/12/30) 處置動作 本周工作項目如下","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"狀態描述 Splunk駐點服務202512第五周(2025/12/30) 處置動作 本周工作項目如下","處理工程師為 B人員進行時間為 2025/12/30 13:30 至 2025/12/30 17:30","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"狀態描述 Splunk駐點服務202512第五週(2025/12/30) 處置動作 本周工作項目如下","狀態描述 (Description): Splunk駐點服務202512第五周(2025/12/30)","after","['succeed', 'post']","[]","Relation"
"本周工作項目如下: 更新GeoDB","處理工程師為 B人員進行時間為 2025/12/30 13:30 至 2025/12/30 17:30","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"<HTTPS大量傳輸告警>調整 排除m365網址，並新建立報表 <每日HTTP資料傳輸統計報表(m365): daily report>","處理工程師為 B人員進行時間為 2025/12/30 13:30 至 2025/12/30 17:30","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"FWD02 CPU及磁碟用量異常","<HTTPS大量傳輸告警>調整 排除m365網址，並新建立報表 <每日HTTP資料傳輸統計報表(m365): daily report>","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"FWD02 CPU及磁碟用量異常 今日發現自12/9左右開始FWD02的CPU用量明顯上升且已持續兩周，同時磁碟用量也達到90%","推測原因為12/9執行FCB腳本時加入了大量稽核規則，且會將稽核日誌轉發到 /var/log/secure","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"推測原因為12/9執行FCB腳本時加入了大量稽核規則，且會將稽核日誌轉發到 /var/log/secure","FWD02 CPU及磁碟用量異常 今日發現自12/9左右開始FWD02的CPU用量明顯上升且已持續兩周，同時磁碟用量也達到90%","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"目前已關閉日誌轉發設定，並將estreamer 資料清理排程調整為僅留存6小時資料 (原為12小時)","FWD02 CPU及磁碟用量異常 今日發現自12/9左右開始FWD02的CPU用量明顯上升且已持續兩周，同時磁碟用量也達到90%","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"待辦事項: 1. SSH Server 漏洞修補","FWD02 CPU及磁碟用量異常","after","['succeed', 'post']","[]","Relation"
"C客戶 has a maintenance record.","C客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B人員 is the processing engineer.","B人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B人員 is the processing engineer.","處理工程師","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"Splunk駐點服務202512第五周(2025/12/30) is the status description.","Splunk駐點服務202512","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"Splunk駐點服務202512第五周(2025/12/30) is the status description.","第五周","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The work items for this week include updating GeoDB, adjusting <HTTPS大量傳輸告警>, and FWD02 CPU and disk usage anomalies.","GeoDB","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The work items for this week include updating GeoDB, adjusting <HTTPS大量傳輸告警>, and FWD02 CPU and disk usage anomalies.","<HTTPS大量傳輸告警>","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The work items for this week include updating GeoDB, adjusting <HTTPS大量傳輸告警>, and FWD02 CPU and disk usage anomalies.","FWD02","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The report <每日HTTP資料傳輸統計報表(m365): daily report> is created and the m365 transmission record is sent separately.","<每日HTTP資料傳輸統計報表(m365)>","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"FWD02's CPU usage has been increasing since 12/9.","FWD02","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"FWD02's CPU usage has been increasing since 12/9.","CPU","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The disk usage of FWD02 reached 90%, with estreamer data occupying approximately 109G.","FWD02","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The disk usage of FWD02 reached 90%, with estreamer data occupying approximately 109G.","磁碟","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The disk usage of FWD02 reached 90%, with estreamer data occupying approximately 109G.","estreamer","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"estreamer's data retention schedule has been adjusted to retain data for only 6 hours.","estreamer","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"There is a pending task of patching SSH Server vulnerabilities.","SSH Server","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"C客戶","B人員","is maintained by","['upheld by', 'overseen by', 'sustained by', 'preserved by']","[]","Relation"
"B人員","Splunk駐點服務202512第四周(2025/12/23)","handles maintenance for","['manage care', 'oversee upkeep', 'support operations']","[]","Relation"
"CVE-2024-9183","版本18.5.2","impacts","['influences', 'alters', 'affects']","[]","Relation"
"CVE-2025-12571","版本18.5.2","impacts","['influences', 'alters', 'affects']","[]","Relation"
"B人員","GeoDB","updates","['revise', 'modify', 'refresh']","[]","Relation"
"B人員","GitLab","patches vulnerabilities in","['fix security holes', 'resolve issues', 'address weaknesses']","[]","Relation"
"B人員","版本18.5.4","upgrades to","['improves to', 'advances to', 'enhances to']","[]","Relation"
"B人員","2026年國定假日列表","Updates","['refreshes', 'modifies', 'renews']","[]","Relation"
"B人員","Cybereyes介接套件","is working on building","['crafting', 'making', 'constructing', 'fabricating', 'developing']","[]","Relation"
"The maintenance record is about C client.","The engineer handled B staff.","Before","['happen earlier', 'precede', 'occur prior to', 'precede in time']","[]","Relation"
"The handling time for the staff member is from 2025/12/23 13:30 to 2025/12/23 17:30.","The Splunk on-site service was for the fourth week of December 2025.","At the same time","['coinciding', 'simultaneously', 'concurrently']","[]","Relation"
"The original version 18.5.2 was affected by vulnerabilities CVE-2024-9183 and CVE-2025-12571.","The version was upgraded to 18.5.4.","Because","['result from', 'cause of', 'reason for']","[]","Relation"
"The work items for the week include updating GeoDB, patching GitLab vulnerabilities, updating the 2026 national holiday list, and building the Cybereyes interface package (in progress).","There are pending tasks to patch SSH Server vulnerabilities.","After","['later', 'subsequent', 'following']","[]","Relation"
"The maintenance record of C客戶 is being handled.","C客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B人員 processed the maintenance as an engineer from 2025/12/23 13:30 to 2025/12/23 17:30.","B人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"Splunk駐點服務202512第四周(2025/12/23) was described.","Splunk駐點服務","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"GeoDB was updated as part of this week's work items.","GeoDB","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"GitLab vulnerability fixes were applied because the original version 18.5.2 was affected by vulnerabilities CVE-2024-9183 and CVE-2025-12571, so it has been upgraded to version 18.5.4.","GitLab","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"GitLab vulnerability fixes were applied because the original version 18.5.2 was affected by vulnerabilities CVE-2024-9183 and CVE-2025-12571, so it has been upgraded to version 18.5.4.","CVE-2024-9183","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"GitLab vulnerability fixes were applied because the original version 18.5.2 was affected by vulnerabilities CVE-2024-9183 and CVE-2025-12571, so it has been upgraded to version 18.5.4.","CVE-2025-12571","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"Cybereyes interface package is being set up.","Cybereyes","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"SSH Server vulnerability fixes are pending tasks.","SSH Server","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"維護紀錄","C客戶","屬於","['belong to']","[]","Relation"
"B人員","Splunk SIEM","處理","['handle', 'address', 'deal with', 'manage']","[]","Relation"
"B人員","授權用量檢查","進行","['carry out', 'execute', 'perform']","[]","Relation"
"B人員","伺服器效能檢查","進行","['carry out', 'execute', 'perform']","[]","Relation"
"B人員","系統優化建議","提供","['give', 'offer', 'supply']","[]","Relation"
